"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1976075103176884627","Wed Oct 08 23:59:52 +0000 2025","32","WATCH: Gov. JB Pritzker claims President Trump always chickens out after he called for his arrest. We've done nothing wrong here. And very importantly it's Donald Trump that is breaching the Constitution breaking the law. We're taking him to court. https://t.co/C7jXkNkvW3","1976075103176884627","https://pbs.twimg.com/amplify_video_thumb/1975979795277115392/img/3vRPpvvpiWlkRJqH.jpg","","en","","2","16","3","https://x.com/undefined/status/1976075103176884627","1441965051414339586",
"1976075098697462114","Wed Oct 08 23:59:51 +0000 2025","66","Trump raised the Bar and the rest ... https://t.co/K1tESzo5fg","1976075098697462114","https://pbs.twimg.com/media/G2xt1JiXYAACbSO.jpg","","en","","1","11","17","https://x.com/undefined/status/1976075098697462114","1646706148257529865",
"1976075095753077041","Wed Oct 08 23:59:51 +0000 2025","202","Sen FETTERMAN votes NO on the War Powers Resolution that would require Congressional approval before the Trump admin conducted additional military strikes in the Caribbean.","1976075095753077041","","","en","","25","41","78","https://x.com/undefined/status/1976075095753077041","14007532",
"1976075075746250859","Wed Oct 08 23:59:46 +0000 2025","88","President Trump Beats Democrats AGAIN - Massive Court Victory READ THE FULL ARTICLE BELOW: https://t.co/QfSJPinVX1","1976075075746250859","https://pbs.twimg.com/media/G2xtzoAWcAAEyhL.jpg","","en","","0","3","63","https://x.com/undefined/status/1976075075746250859","1798808895965847552",
"1976075060717945219","Wed Oct 08 23:59:42 +0000 2025","613","Trump Announces Israel Hamas PEACE PLAN SIGNED Israel To WITHDRAW Troops | Timcast IRL https://t.co/tUSBYgt21k","1976075060717945219","","","en","","1","66","59","https://x.com/undefined/status/1976075060717945219","27000730",
"1976075059627512257","Wed Oct 08 23:59:42 +0000 2025","54","Trump Announces Israel Hamas PEACE PLAN SIGNED Israel To WITHDRAW Troops | Timcast IRL https://t.co/V5IoAm746Z","1976075059627512257","","","en","","0","2","8","https://x.com/undefined/status/1976075059627512257","1448659775848214533",
"1976075014714818743","Wed Oct 08 23:59:31 +0000 2025","112","President Trump says he will come to Israel on Sunday and address the Knesset.","1976075014714818743","","","en","","1","1","12","https://x.com/undefined/status/1976075014714818743","799695895",
"1976074997069381777","Wed Oct 08 23:59:27 +0000 2025","6","Hamas are declaring victory! I warned everyone Trump is the Hamasnik candidate. In 2017 Trump lifted Egypt s arms embargo resulting in Hamas getting armed for Oct 7th. Now Hamas are being SAVED by DONALD TRUMP to do another Oct 7th genocide! No refunds for dumbass MAGA Israelis! https://t.co/JCFilN1gqr","1976074997069381777","https://pbs.twimg.com/tweet_video_thumb/G2xtvCEWUAAt_7u.jpg","","en","","0","2","2","https://x.com/undefined/status/1976074997069381777","1357756436223320066",
"1976074979293774292","Wed Oct 08 23:59:23 +0000 2025","23","JUST IN: Republicans vote down Dems push to overturn Trump s energy emergency declaration https://t.co/Ropi7NJb3D","1976074979293774292","","","en","","0","12","8","https://x.com/undefined/status/1976074979293774292","1917731",
"1976074961308819627","Wed Oct 08 23:59:19 +0000 2025","9","Peace through strength works. Thank you President Trump for delivering this first crucial step to peace!","1976074961308819627","","","en","","0","0","4","https://x.com/undefined/status/1976074961308819627","1327272962681163776",
